Organism,Human Microbiome Body Site
Paenibacillus senegalensis JC66,not-specified
Paenibacillus sp. HGF5,gastrointestinal-tract
Paenibacillus sp. HGF7,gastrointestinal-tract
Paenibacillus sp. HGF7,gastrointestinal-tract
Paenibacillus sp. HGH0039,not-specified
Paenibacillus sp. oral taxon 786 D14,oral
Paenisporosarcina sp. HGH0030,not-specified
Pandoraea pulmonicola,oral
Parabacteroides distasonis CL03T12C09,not-specified
Parabacteroides distasonis CL09T03C24,not-specified
Parabacteroides goldsteinii CL02T12C30,not-specified
Parabacteroides goldsteinii DSM 19448,not-specified
Parabacteroides gordonii DSM 23371,not-specified
Parabacteroides gordonii MS-1,not-specified
Parabacteroides johnsonii CL02T12C29,not-specified
Parabacteroides johnsonii DSM 18315,gastrointestinal-tract
Parabacteroides merdae ATCC 43184,gastrointestinal-tract
Parabacteroides merdae CL03T12C32,not-specified
Parabacteroides merdae CL09T00C40,not-specified
Parabacteroides sp. 20_3,gastrointestinal-tract
Parabacteroides sp. 2_1_7,gastrointestinal-tract
Parabacteroides sp. D13,gastrointestinal-tract
Parabacteroides sp. D25,not-specified
Parabacteroides sp. D26,not-specified
Parabacteroides sp. HGS0025,not-specified
Paraburkholderia glathei,not-specified
Paraprevotella clara YIT 11840,gastrointestinal-tract
Paraprevotella xylaniphila YIT 11841,gastrointestinal-tract
Parascardovia denticolens DSM 10105,oral
Parascardovia denticolens DSM 10105 = JCM 12538,oral
Parascardovia denticolens F0305,oral
Parasutterella excrementihominis YIT 11859,gastrointestinal-tract
Parvimonas micra,not-specified
Parvimonas micra ATCC 33270,gastrointestinal-tract
Parvimonas micra ATCC 33270,gastrointestinal-tract
Parvimonas sp. KA00067,urogenital-tract
Parvimonas sp. oral taxon 110 F0139,oral
Parvimonas sp. oral taxon 393 F0440,oral
Pasteurella bettyae CCUG 2042,urogenital-tract
Pasteurella bettyae CCUG 2042,urogenital-tract
Pasteurella dagmatis ATCC 43325,airways
Pediococcus acidilactici 7_4,gastrointestinal-tract
Pediococcus acidilactici DSM 20284,gastrointestinal-tract
Peptoanaerobacter stomatis ACC19a,oral
Peptoanaerobacter stomatis CM2,oral
Peptoanaerobacter stomatis CM5,oral
Peptoanaerobacter stomatis OBRC8,oral
Peptoniphilus coxii DNF00729,urogenital-tract
Peptoniphilus duerdenii ATCC BAA-1640,urogenital-tract
Peptoniphilus harei ACS-146-V-Sch2b,urogenital-tract
Peptoniphilus harei CMW7756A,urogenital-tract
Peptoniphilus indolicus ATCC 29427,oral
Peptoniphilus lacrimalis 315-B,urogenital-tract
Peptoniphilus senegalensis type strain: JC140,not-specified
Peptoniphilus sp. BV3AC2,not-specified
Peptoniphilus sp. BV3C26,not-specified
Peptoniphilus sp. DNF00840,urogenital-tract
Peptoniphilus sp. HMSC062D09,not-specified
Peptoniphilus sp. HMSC075B08,not-specified
Peptoniphilus sp. oral taxon 375 F0436,oral
Peptoniphilus sp. oral taxon 386 F0131,oral
Peptoniphilus sp. oral taxon 836 F0141,oral
Peptostreptococcaceae bacterium ACC19a,oral
Peptostreptococcaceae bacterium AS15,oral
Peptostreptococcaceae bacterium oral taxon 113 W5053,not-specified
Peptostreptococcus anaerobius 653-L,skin
Peptostreptococcus anaerobius KA00810,urogenital-tract
Peptostreptococcus anaerobius MJR8628A,urogenital-tract
Peptostreptococcus anaerobius VPI 4330,oral
Peptostreptococcus anaerobius VPI 4330 = DSM 2949,oral
Peptostreptococcus sp. MV1,urogenital-tract
Peptostreptococcus sp. MV1,urogenital-tract
Peptostreptococcus stomatis DSM 17678,oral
Phascolarctobacterium succinatutens YIT 12067,gastrointestinal-tract
Planomicrobium glaciei CHR43,not-specified
Porphyromonadaceae bacterium KA00676,urogenital-tract
Porphyromonas asaccharolytica DSM 20707,not-specified
Porphyromonas asaccharolytica PR426713P-I,urogenital-tract
Porphyromonas catoniae ATCC 51270,not-specified
Porphyromonas catoniae F0037,oral
Porphyromonas endodontalis ATCC 35406,oral
Porphyromonas gingivalis F0185,not-specified
Porphyromonas gingivalis F0566,not-specified
Porphyromonas gingivalis F0568,not-specified
Porphyromonas gingivalis F0569,not-specified
Porphyromonas gingivalis F0570,not-specified
Porphyromonas gingivalis W4087,not-specified
Porphyromonas gingivalis W50,oral
Porphyromonas somerae DSM 23386,not-specified
Porphyromonas somerae KA00683,urogenital-tract
Porphyromonas somerae KA00683,urogenital-tract
Porphyromonas sp. HMSC065F10,not-specified
Porphyromonas sp. HMSC077F02,not-specified
Porphyromonas sp. KLE 1280 KLE 1280,oral
Porphyromonas sp. oral taxon 278 W7784,not-specified
Porphyromonas sp. oral taxon 279 F0450,oral
Porphyromonas uenonis 60-3,urogenital-tract
Prevotella amnii CRIS 21A-A,urogenital-tract
Prevotella amnii DNF00058,urogenital-tract
Prevotella amnii DNF00307,urogenital-tract
Prevotella baroniae DSM 16972 = JCM 13447,oral
Prevotella baroniae F0067,not-specified
Prevotella bergensis DSM 17361,skin
Prevotella bivia DNF00188,urogenital-tract
Prevotella bivia DNF00320,urogenital-tract
Prevotella bivia DNF00650,urogenital-tract
Prevotella bivia GED7760C,urogenital-tract
Prevotella bivia GED7880,urogenital-tract
Prevotella bivia JCVIHMP010,urogenital-tract
Prevotella buccae ATCC 33574,oral
Prevotella buccae D17,oral
Prevotella buccalis ATCC 35310,urogenital-tract
Prevotella buccalis DNF00853,urogenital-tract
Prevotella buccalis DNF00985,urogenital-tract
Prevotella copri DSM 18205,gastrointestinal-tract
Prevotella corporis DSM 18810 = JCM 8529,not-specified
Prevotella corporis MJR7716,urogenital-tract
Prevotella dentalis DSM 3688,oral
Prevotella dentalis DSM 3688,oral
Prevotella denticola CRIS 18C-A,urogenital-tract
Prevotella denticola DNF00960,urogenital-tract
Prevotella denticola F0289,oral
Prevotella disiens ATCC 29426,urogenital-tract
Prevotella disiens DNF00882,urogenital-tract
Prevotella disiens FB035-09AN,urogenital-tract
Prevotella histicola DNF00424,urogenital-tract
Prevotella histicola F0411,oral
Prevotella intermedia 17,not-specified
Prevotella loescheii ATCC 15930,not-specified
Prevotella maculosa DSM 19339,not-specified
Prevotella maculosa OT 289,oral
Prevotella marshii DSM 16973,oral
Prevotella marshii DSM 16973 = JCM 13450,oral
Prevotella melaninogenica ATCC 25845,oral
Prevotella melaninogenica D18,oral
Prevotella melaninogenica DNF00666,urogenital-tract
Prevotella micans F0438,oral
Prevotella multiformis DSM 16608,oral
Prevotella multisaccharivorax DSM 17128,not-specified
Prevotella nanceiensis DSM 19126 = JCM 15639,not-specified
Prevotella nigrescens ATCC 33563,oral
Prevotella nigrescens CC14M,not-specified
Prevotella nigrescens F0103,not-specified
Prevotella oralis ATCC 33269,urogenital-tract
Prevotella oralis CC98A,not-specified
Prevotella oralis HGA0225,not-specified
Prevotella oris C735,airways
Prevotella oris F0302,oral
Prevotella oris JCM 12252,not-specified
Prevotella oulorum F0390,oral
Prevotella pallens ATCC 700821,oral
Prevotella pleuritidis F0068,not-specified
Prevotella saccharolytica F0055,oral
Prevotella salivae DSM 15606,gastrointestinal-tract
Prevotella salivae F0493,not-specified
Prevotella scopos W2052,not-specified
Prevotella sp. BV3P1,not-specified
Prevotella sp. C561,airways
Prevotella sp. DNF00663,urogenital-tract
Prevotella sp. F0091,not-specified
Prevotella sp. HMSC069G02,not-specified
Prevotella sp. HMSC073D09,not-specified
Prevotella sp. HMSC077E08,not-specified
Prevotella sp. HMSC077E09,not-specified
Prevotella sp. ICM33,not-specified
Prevotella sp. MSX73,oral
Prevotella sp. oral taxon 299 F0039,oral
Prevotella sp. oral taxon 299 F0039,oral
Prevotella sp. oral taxon 306 F0472,oral
Prevotella sp. oral taxon 317 F0108,not-specified
Prevotella sp. oral taxon 472 F0295,oral
Prevotella sp. oral taxon 473 F0040,oral
Prevotella sp. S7 MS 2 S7 MS 2,urogenital-tract
Prevotella sp. S7-1-8,urogenital-tract
Prevotella stercorea DSM 18206,gastrointestinal-tract
Prevotella timonensis CRIS 5C-B1,urogenital-tract
Prevotella timonensis S9-PR14,urogenital-tract
Prevotella veroralis F0319,oral
Propionibacterium acidifaciens DSM 21887,not-specified
Propionibacterium acidifaciens F0233,not-specified
Propionibacterium acnes 266,not-specified
Propionibacterium acnes HL001PA1,skin
Propionibacterium acnes HL002PA1,skin
Propionibacterium acnes HL002PA2,skin
Propionibacterium acnes HL002PA3,skin
Propionibacterium acnes HL005PA1,skin
Propionibacterium acnes HL005PA2,skin
Propionibacterium acnes HL005PA3,skin
Propionibacterium acnes HL005PA4,skin
Propionibacterium acnes HL007PA1,skin
Propionibacterium acnes HL013PA1,skin
Propionibacterium acnes HL013PA2,skin
Propionibacterium acnes HL020PA1,skin
Propionibacterium acnes HL025PA1,skin
Propionibacterium acnes HL025PA2,skin
Propionibacterium acnes HL027PA1,skin
Propionibacterium acnes HL027PA2,skin
Propionibacterium acnes HL030PA1,skin
Propionibacterium acnes HL030PA2,skin
Propionibacterium acnes HL036PA1,skin
Propionibacterium acnes HL036PA2,skin
Propionibacterium acnes HL036PA3,skin
Propionibacterium acnes HL037PA1,skin
Propionibacterium acnes HL037PA2,skin
Propionibacterium acnes HL038PA1,skin
Propionibacterium acnes HL042PA3,not-specified
Propionibacterium acnes HL043PA1,skin
Propionibacterium acnes HL043PA2,skin
Propionibacterium acnes HL045PA1,skin
Propionibacterium acnes HL046PA1,skin
Propionibacterium acnes HL046PA2,skin
Propionibacterium acnes HL050PA1,skin
Propionibacterium acnes HL050PA2,skin
Propionibacterium acnes HL050PA3,skin
Propionibacterium acnes HL053PA1,skin
Propionibacterium acnes HL053PA2,skin
Propionibacterium acnes HL056PA1,skin
Propionibacterium acnes HL059PA1,skin
Propionibacterium acnes HL059PA2,skin
Propionibacterium acnes HL060PA1,skin
Propionibacterium acnes HL063PA1,skin
Propionibacterium acnes HL063PA2,skin
Propionibacterium acnes HL067PA1,skin
Propionibacterium acnes HL072PA1,skin
Propionibacterium acnes HL072PA2,skin
Propionibacterium acnes HL074PA1,skin
Propionibacterium acnes HL078PA1,skin
Propionibacterium acnes HL082PA1,skin
Propionibacterium acnes HL082PA2,skin
Propionibacterium acnes HL083PA1,skin
Propionibacterium acnes HL083PA2,skin
Propionibacterium acnes HL086PA1,skin
Propionibacterium acnes HL087PA1,skin
Propionibacterium acnes HL087PA2,skin
Propionibacterium acnes HL087PA3,skin
Propionibacterium acnes HL092PA1,skin
Propionibacterium acnes HL096PA1,not-specified
Propionibacterium acnes HL096PA2,skin
Propionibacterium acnes HL096PA3,skin
Propionibacterium acnes HL097PA1,skin
Propionibacterium acnes HL099PA1,skin
Propionibacterium acnes HL103PA1,skin
Propionibacterium acnes HL110PA1,skin
Propionibacterium acnes HL110PA2,skin
Propionibacterium acnes HL110PA3,skin
Propionibacterium acnes HL110PA4,skin
Propionibacterium acnes J139,skin
Propionibacterium acnes J165,skin
Propionibacterium acnes SK137,skin
Propionibacterium acnes SK182,skin
Propionibacterium acnes SK182B-JCVI,skin
Propionibacterium acnes SK187,skin
Propionibacterium avidum DPC 6544,not-specified
Propionibacterium granulosum TM11,not-specified
Propionibacterium sp. 409-HC1,urogenital-tract
Propionibacterium sp. 434-HC2,urogenital-tract
Propionibacterium sp. 5_U_42AFAA,gastrointestinal-tract
Propionibacterium sp. CC003-HC2,oral
Propionibacterium sp. HGH0353,not-specified
Propionibacterium sp. HMSC062D02,not-specified
Propionibacterium sp. HMSC062D05,not-specified
Propionibacterium sp. HMSC065F07,not-specified
Propionibacterium sp. HMSC067A01,not-specified
Propionibacterium sp. HMSC067A02,not-specified
Propionibacterium sp. HMSC068C01,not-specified
Propionibacterium sp. HMSC069G10,not-specified
Propionibacterium sp. HMSC075A12,not-specified
Propionibacterium sp. HMSC078F01,not-specified
Propionibacterium sp. HMSC078F10,not-specified
Propionibacterium sp. KPL1838,not-specified
Propionibacterium sp. KPL1844,not-specified
Propionibacterium sp. KPL1847,not-specified
Propionibacterium sp. KPL1849,not-specified
Propionibacterium sp. KPL1852,not-specified
Propionibacterium sp. KPL1854,not-specified
Propionibacterium sp. KPL2000,not-specified
Propionibacterium sp. KPL2003,not-specified
Propionibacterium sp. KPL2005,not-specified
Propionibacterium sp. KPL2008,not-specified
Propionibacterium sp. KPL2009,not-specified
Propionibacterium sp. oral taxon 192 F0372,not-specified
Propionibacterium sp. oral taxon 193 F0672,not-specified
Propionimicrobium lymphophilum ACS-093-V-SCH5,not-specified
Propionimicrobium lymphophilum DSM 4903,not-specified
Propionimicrobium sp. BV2F7,not-specified
Proteus mirabilis ATCC 29906,urogenital-tract
Proteus mirabilis GED7834,urogenital-tract
Proteus mirabilis WGLW4,urogenital-tract
Proteus mirabilis WGLW6,gastrointestinal-tract
Proteus penneri ATCC 35198,not-specified
Proteus sp. HMSC10D02,not-specified
Proteus sp. HMSC14B05,urogenital-tract
Providencia alcalifaciens 205/92,not-specified
Providencia alcalifaciens DSM 30120,gastrointestinal-tract
Providencia alcalifaciens F90-2004,not-specified
Providencia alcalifaciens PAL-1,not-specified
Providencia alcalifaciens PAL-2,not-specified
Providencia alcalifaciens PAL-3,not-specified
Providencia alcalifaciens R90-1475,not-specified
Providencia alcalifaciens RIMD 1656011,not-specified
Providencia rettgeri DSM 1131,gastrointestinal-tract
Providencia rettgeri RB151,urogenital-tract
Providencia rustigianii DSM 4541,gastrointestinal-tract
Providencia stuartii ATCC 25827,gastrointestinal-tract
Providencia stuartii BE2467,urogenital-tract
Providencia stuartii MRSN 2154,blood
Pseudoflavonifractor capillosus ATCC 29799,gastrointestinal-tract
Pseudoglutamicibacter albus DNF00011,urogenital-tract
Pseudoglutamicibacter albus DNF00011,urogenital-tract
Pseudomonas aeruginosa 2_1_26,gastrointestinal-tract
Pseudomonas aeruginosa B136-33,not-specified
Pseudomonas aeruginosa NHmuc,not-specified
Pseudomonas aeruginosa PA1088,urogenital-tract
Pseudomonas aeruginosa PA121617,oral
Pseudomonas aeruginosa PA7790,not-specified
Pseudomonas aeruginosa PA_D1,oral
Pseudomonas aeruginosa PA_D16,oral
Pseudomonas aeruginosa PA_D2,oral
Pseudomonas aeruginosa PA_D21,oral
Pseudomonas aeruginosa PA_D22,oral
Pseudomonas aeruginosa PA_D25,oral
Pseudomonas aeruginosa PA_D5,oral
Pseudomonas aeruginosa PA_D9,oral
Pseudomonas aeruginosa SCV20265,not-specified
Pseudomonas aeruginosa Stone 130,not-specified
Pseudomonas putida PC9,not-specified
Pseudomonas sp. HMSC057H01,not-specified
Pseudomonas sp. HMSC058A10,not-specified
Pseudomonas sp. HMSC058B07,oral
Pseudomonas sp. HMSC058C05,not-specified
Pseudomonas sp. HMSC059F05,not-specified
Pseudomonas sp. HMSC05H02,not-specified
Pseudomonas sp. HMSC060F12,not-specified
Pseudomonas sp. HMSC060G01,not-specified
Pseudomonas sp. HMSC060G02,oral
Pseudomonas sp. HMSC061A10,not-specified
Pseudomonas sp. HMSC063H08,not-specified
Pseudomonas sp. HMSC064G05,not-specified
Pseudomonas sp. HMSC065H01,not-specified
Pseudomonas sp. HMSC065H02,not-specified
Pseudomonas sp. HMSC066A08,gastrointestinal-tract
Pseudomonas sp. HMSC066B03,not-specified
Pseudomonas sp. HMSC066B11,gastrointestinal-tract
Pseudomonas sp. HMSC067D05,not-specified
Pseudomonas sp. HMSC067F09,not-specified
Pseudomonas sp. HMSC067G02,not-specified
Pseudomonas sp. HMSC069G05,not-specified
Pseudomonas sp. HMSC070B12,oral
Pseudomonas sp. HMSC071F02,not-specified
Pseudomonas sp. HMSC072F09,not-specified
Pseudomonas sp. HMSC073F05,not-specified
Pseudomonas sp. HMSC075A08,not-specified
Pseudomonas sp. HMSC076A11,not-specified
Pseudomonas sp. HMSC076A12,not-specified
Pseudomonas sp. HMSC08G10,not-specified
Pseudomonas sp. HMSC11A05,blood
Pseudomonas sp. HMSC16B01,not-specified
Pseudomonas sp. HMSC75E02,urogenital-tract
Pseudomonas sp. HPB0071,not-specified
Pseudomonas sp. P179,not-specified
Pseudopropionibacterium propionicum F0230a,oral
Pseudoramibacter alactolyticus ATCC 23263,oral
Psychrobacter sp. 1501(2011),blood
Pyramidobacter piscolens W5455,oral
Rahnella sp. Y9602,not-specified
Ralstonia mannitolilytica,not-specified
Ralstonia pickettii 5_7_47FAA,gastrointestinal-tract
Ralstonia sp. 5_2_56FAA,gastrointestinal-tract
Raoultella ornithinolytica 10-5246,blood
Rhodococcus erythropolis SK121,skin
Rhodococcus hoagii ATCC 33707,skin
Rickettsia akari Hartford,not-specified
Rickettsia prowazekii Breinl,not-specified
Rickettsia prowazekii NMRC Madrid E,not-specified
Rickettsia rickettsii Arizona,not-specified
Roseburia hominis A2-183,not-specified
Roseburia intestinalis L1-82,gastrointestinal-tract
Roseburia inulinivorans DSM 16841,gastrointestinal-tract
Roseburia inulinivorans DSM 16841,gastrointestinal-tract
Roseomonas cervicalis ATCC 49957,urogenital-tract
Roseomonas mucosa SAVE376,not-specified
Rothia aeria F0184,not-specified
Rothia aeria F0474,oral
Rothia dentocariosa ATCC 17931,oral
Rothia dentocariosa C6D,oral
Rothia dentocariosa M567,airways
Rothia mucilaginosa ATCC 25296,airways
Rothia mucilaginosa M508,airways
Rothia sp. HMSC036D11,not-specified
Rothia sp. HMSC058E10,not-specified
Rothia sp. HMSC061C12,not-specified
Rothia sp. HMSC061D12,oral
Rothia sp. HMSC061E04,oral
Rothia sp. HMSC062F03,oral
Rothia sp. HMSC062H08,oral
Rothia sp. HMSC064D08,oral
Rothia sp. HMSC064F07,oral
Rothia sp. HMSC065B04,oral
Rothia sp. HMSC065C03,oral
Rothia sp. HMSC065C12,not-specified
Rothia sp. HMSC065D02,not-specified
Rothia sp. HMSC065D09,not-specified
Rothia sp. HMSC065G12,not-specified
Rothia sp. HMSC066G02,oral
Rothia sp. HMSC066G07,oral
Rothia sp. HMSC066H02,not-specified
Rothia sp. HMSC067H10,not-specified
Rothia sp. HMSC068E02,not-specified
Rothia sp. HMSC068F09,oral
Rothia sp. HMSC069C01,oral
Rothia sp. HMSC069C03,oral
Rothia sp. HMSC069C04,oral
Rothia sp. HMSC069C10,oral
Rothia sp. HMSC069D01,not-specified
Rothia sp. HMSC071B01,not-specified
Rothia sp. HMSC071C12,not-specified
Rothia sp. HMSC071F11,oral
Rothia sp. HMSC072B03,not-specified
Rothia sp. HMSC072B04,oral
Rothia sp. HMSC072E10,oral
Rothia sp. HMSC073B08,oral
Rothia sp. HMSC075F09,not-specified
Rothia sp. HMSC076D04,oral
Rothia sp. HMSC078H08,not-specified
Rothia sp. HMSC08A08,not-specified
Ruminococcaceae bacterium 585-1 668,not-specified
Ruminococcaceae bacterium D16,gastrointestinal-tract
Ruminococcaceae bacterium D16,gastrointestinal-tract
Ruminococcus callidus ATCC 27760,gastrointestinal-tract
Ruminococcus callidus ATCC 27760,gastrointestinal-tract
Ruminococcus gnavus ATCC 29149,gastrointestinal-tract
Ruminococcus gnavus CC55_001C,not-specified
Ruminococcus lactaris ATCC 29176,gastrointestinal-tract
Ruminococcus lactaris ATCC 29176,gastrointestinal-tract
Ruminococcus lactaris CC59_002D,not-specified
Ruminococcus sp. 5_1_39BFAA,gastrointestinal-tract
Ruminococcus torques ATCC 27756,gastrointestinal-tract
Salmonella enterica enterica 41578,not-specified
Salmonella enterica enterica A3EZ223,not-specified
Salmonella enterica enterica SARA26,not-specified
Salmonella enterica enterica SH12-003,not-specified
Salmonella enterica enterica SH12-007,not-specified
Salmonella enterica enterica SH13-004,not-specified
Salmonella enterica enterica SH13-006,not-specified
Salmonella enterica enterica SH14-009,not-specified
Salmonella enterica enterica ST931R,blood
Salmonella enterica FORC_019,blood
Salmonella sp. HMSC13B08,urogenital-tract
Scardovia inopinata F0304,oral
Scardovia wiggsiae F0424,oral
Scardovia wiggsiae F0424,oral
Segniliparus rotundus DSM 44985,oral
Segniliparus rugosus ATCC BAA-974,airways
Selenomonas artemidis F0399,oral
Selenomonas flueggei ATCC 43531,oral
Selenomonas infelix ATCC 43532,oral
Selenomonas noxia ATCC 43541,oral
Selenomonas noxia F0398,oral
Selenomonas sp. CM52,oral
Selenomonas sp. F0473,oral
Selenomonas sp. FOBRC6,oral
Selenomonas sp. FOBRC9,oral
Selenomonas sp. oral taxon 137 F0430,oral
Selenomonas sp. oral taxon 138 F0429,oral
Selenomonas sp. oral taxon 149 67H29BP,oral
Selenomonas sp. oral taxon 892 F0426,not-specified
Selenomonas sputigena ATCC 35185,oral
Senegalimassilia anaerobia JC110,not-specified
Serratia odorifera DSM 4582,airways
Serratia odorifera DSM 4582,airways
Serratia sp. HMSC15F11,not-specified
Shigella flexneri 1235-66,gastrointestinal-tract
Shuttleworthia satelles DSM 14600,oral
Shuttleworthia satelles DSM 14600,oral
Shuttleworthia sp. MSX8B,not-specified
Simonsiella muelleri ATCC 29453,oral
Slackia exigua ATCC 700122,oral
Slackia piriformis YIT 12062,not-specified
Slackia sp. CM382,oral
Sneathia,not-specified
Solobacterium moorei DSM 22971,gastrointestinal-tract
Solobacterium moorei F0204,oral
Sphingobacterium sp. HMSC13C05,urogenital-tract
Sphingobacterium sp. HMSC13C05,urogenital-tract
Sphingobacterium spiritivorum ATCC 33300,urogenital-tract
Sphingobacterium spiritivorum ATCC 33861,urogenital-tract
Sphingobacterium thalpophilum DSM 11723,not-specified
Sphingobium yanoikuyae ATCC 51230,not-specified
Sporosarcina newyorkensis 2681,blood
Staphylococcus arlettae CVD059,not-specified
Staphylococcus aureus 08-02119,wound
Staphylococcus aureus 08-02300,wound
Staphylococcus aureus 08BA02176,not-specified
Staphylococcus aureus 880,not-specified
Staphylococcus aureus aureus ATCC 51811,not-specified
Staphylococcus aureus aureus ATCC BAA-39,airways
Staphylococcus aureus aureus CM05,airways
Staphylococcus aureus aureus ECT-R 2,not-specified
Staphylococcus aureus aureus KPL1828,not-specified
Staphylococcus aureus aureus KPL1845,not-specified
Staphylococcus aureus aureus M013,not-specified
Staphylococcus aureus aureus MN8,urogenital-tract
Staphylococcus aureus aureus MRSA131,skin
Staphylococcus aureus aureus MRSA177,skin
Staphylococcus aureus aureus T0131,not-specified
Staphylococcus aureus aureus TCH130,skin
Staphylococcus aureus aureus TCH1516,not-specified
Staphylococcus aureus aureus TCH60,skin
Staphylococcus aureus aureus TCH70,skin
Staphylococcus aureus aureus USA300_TCH1516,not-specified
Staphylococcus aureus aureus USA300_TCH959,skin
Staphylococcus aureus aureus Z172,blood
Staphylococcus aureus FORC_027,blood
Staphylococcus aureus PSS7673,urogenital-tract
Staphylococcus aureus SA40TW,not-specified
Staphylococcus capitis C87,airways
Staphylococcus capitis SK14,skin
Staphylococcus caprae M23864:W1,skin
Staphylococcus epidermidis 14.1.R1.SE,skin
Staphylococcus epidermidis BCM-HMP0060,skin
Staphylococcus epidermidis BVS058A4,urogenital-tract
Staphylococcus epidermidis E13A,not-specified
Staphylococcus epidermidis M23864:W2(grey),skin
Staphylococcus epidermidis NIH04003,blood
Staphylococcus epidermidis NIH04008,blood
Staphylococcus epidermidis NIH05001,blood
Staphylococcus epidermidis NIH05003,blood
Staphylococcus epidermidis NIH05005,blood
Staphylococcus epidermidis NIH051475,not-specified
Staphylococcus epidermidis NIH051668,airways
Staphylococcus epidermidis NIH06004,blood
Staphylococcus epidermidis NIH08001,blood
Staphylococcus epidermidis NIHLM001,not-specified
Staphylococcus epidermidis NIHLM003,not-specified
Staphylococcus epidermidis NIHLM008,not-specified
Staphylococcus epidermidis NIHLM015,not-specified
Staphylococcus epidermidis NIHLM018,not-specified
Staphylococcus epidermidis NIHLM020,not-specified
Staphylococcus epidermidis NIHLM021,not-specified
Staphylococcus epidermidis NIHLM023,not-specified
Staphylococcus epidermidis NIHLM031,not-specified
Staphylococcus epidermidis NIHLM037,not-specified
Staphylococcus epidermidis NIHLM039,not-specified
Staphylococcus epidermidis NIHLM040,not-specified
Staphylococcus epidermidis NIHLM049,not-specified
Staphylococcus epidermidis NIHLM053,not-specified
Staphylococcus epidermidis NIHLM057,not-specified
Staphylococcus epidermidis NIHLM061,nose
Staphylococcus epidermidis NIHLM067,not-specified
Staphylococcus epidermidis NIHLM070,not-specified
Staphylococcus epidermidis NIHLM087,nose
Staphylococcus epidermidis NIHLM088,nose
Staphylococcus epidermidis NIHLM095,not-specified
Staphylococcus epidermidis SK135,skin
Staphylococcus epidermidis W23144,skin
Staphylococcus haemolyticus DNF00585,urogenital-tract
Staphylococcus hominis hominis C80,airways
Staphylococcus hominis SK119,skin
Staphylococcus lugdunensis ACS-027-V-Sch2,urogenital-tract
Staphylococcus lugdunensis HKU09-01,not-specified
Staphylococcus lugdunensis M23590,skin
Staphylococcus lugdunensis MJR7738,urogenital-tract
Staphylococcus massiliensis CCUG 55927,not-specified
Staphylococcus simulans ACS-120-V-Sch1,urogenital-tract
Staphylococcus simulans MJR7712,urogenital-tract
Staphylococcus sp. HGB0015,not-specified
Staphylococcus sp. HMSC034A07,not-specified
Staphylococcus sp. HMSC034C12,urogenital-tract
Staphylococcus sp. HMSC034D07,urogenital-tract
Staphylococcus sp. HMSC034G07,urogenital-tract
Staphylococcus sp. HMSC034G11,not-specified
Staphylococcus sp. HMSC035D11,urogenital-tract
Staphylococcus sp. HMSC035F01,not-specified
Staphylococcus sp. HMSC035F02,not-specified
Staphylococcus sp. HMSC035F11,not-specified
Staphylococcus sp. HMSC036A09,not-specified
Staphylococcus sp. HMSC036D05,not-specified
Staphylococcus sp. HMSC055A09,not-specified
Staphylococcus sp. HMSC055A10,not-specified
Staphylococcus sp. HMSC055B03,not-specified
Staphylococcus sp. HMSC055C03,urogenital-tract
Staphylococcus sp. HMSC055G07,wound
Staphylococcus sp. HMSC055H04,not-specified
Staphylococcus sp. HMSC055H07,not-specified
Staphylococcus sp. HMSC056D08,not-specified
Staphylococcus sp. HMSC056G08,urogenital-tract
Staphylococcus sp. HMSC057A02,not-specified
Staphylococcus sp. HMSC057A08,not-specified
Staphylococcus sp. HMSC057B01,not-specified
Staphylococcus sp. HMSC057C08,not-specified
Staphylococcus sp. HMSC057G10,not-specified
Staphylococcus sp. HMSC058D09,gastrointestinal-tract
Staphylococcus sp. HMSC058E01,not-specified
Staphylococcus sp. HMSC058E03,not-specified
Staphylococcus sp. HMSC058E12,not-specified
Staphylococcus sp. HMSC059E03,urogenital-tract
Staphylococcus sp. HMSC059F04,not-specified
Staphylococcus sp. HMSC059G05,not-specified
Staphylococcus sp. HMSC060A04,gastrointestinal-tract
Staphylococcus sp. HMSC060D01,not-specified
Staphylococcus sp. HMSC060D12,not-specified
Staphylococcus sp. HMSC061C10,not-specified
Staphylococcus sp. HMSC061F01,not-specified
Staphylococcus sp. HMSC061F10,not-specified
Staphylococcus sp. HMSC061G04,not-specified
Staphylococcus sp. HMSC061G12,not-specified
Staphylococcus sp. HMSC061H04,not-specified
Staphylococcus sp. HMSC062A01,not-specified
Staphylococcus sp. HMSC062A05,not-specified
Staphylococcus sp. HMSC062B11,not-specified
Staphylococcus sp. HMSC062C01,not-specified
Staphylococcus sp. HMSC062C03,not-specified
Staphylococcus sp. HMSC062D04,not-specified
Staphylococcus sp. HMSC062D12,not-specified
Staphylococcus sp. HMSC062E08,not-specified
Staphylococcus sp. HMSC062E10,not-specified
Staphylococcus sp. HMSC062H10,oral
Staphylococcus sp. HMSC063A07,not-specified
Staphylococcus sp. HMSC063A11,not-specified
Staphylococcus sp. HMSC063D03,not-specified
Staphylococcus sp. HMSC063E12,not-specified
Staphylococcus sp. HMSC063F02,not-specified
Staphylococcus sp. HMSC063F03,not-specified
Staphylococcus sp. HMSC063F05,not-specified
Staphylococcus sp. HMSC063F10,not-specified
Staphylococcus sp. HMSC063G01,not-specified
Staphylococcus sp. HMSC063H12,not-specified
