ID,Species,Order,Class,Phylum,Domain,Genome availability,Salinity concentration/range(w/v),Halotolerance classification
678,Marinobacter piscensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 15%, optimum 10%",Moderate
679,Fodinicurvata halophila,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"5% - 20%, optimum 10%",Moderate
680,Actinopolyspora biskrensis,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,no,"10% - 30%, optimum 15% - 20%",Extreme
681,Pontibacillus salicampi,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 20%, optimum 7%",Moderate
682,Sporohalobacter salinus,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,"5% - 30%, optimum 20%",Extreme
683,Salinithrix halophila,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 15%, optimum 3% - 5%",Moderate
684,Celeribacter indicus,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,complete genome,"0.5% - 12%, optimum 3%",Moderate
685,Seohaeicola nanhaiensis,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"0% - 8%, optimum 6%",Moderate
686,Aquibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 20%, optimum 10%",Moderate
687,Mzabimyces algeriensis,not assigned,not assigned,Actinobacteria,Bacteria,no,"7% - 30%, optimum 10% - 20%",Extreme
688,Halovivax limisalsi,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,"15% - 30%, optimum 25%",Extreme
689,Saccharopolyspora halotolerans,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"3% - 20%, optimum 10%",Moderate
690,Pseudomonas salegens,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,chromosome,"1% - 10%, optimum 3%",Moderate
691,Glycocaulis albus,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"1% - 5%, optimum 1% - 3%",Slight
692,Bacillus oryzaecorticis,Bacillales,Bacilli,Firmicutes,Bacteria,no,0% - 9%,Moderate
693,Streptomonospora algeriensis,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,no,"7% - 20%, optimum 10% - 15%",Moderate
694,Aquisalimonas halophila,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 23%, optimum 10% - 11%",Moderate
695,Bacillus daqingensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 16%, optimum 3%",Moderate
696,Aliicoccus persicus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 12.5%, optimum 7.5%",Moderate
697,Alkalibacillus almallahensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"7.5% - 30%, optimum 15%",Extreme
698,Methanohalophilus levihalophilus,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,no,"1% - 7.5%, optimum 2%",Moderate
699,Halomonas songnenensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.2% - 15%, optimum 4%",Moderate
700,Oceanobacillus aidingensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 21%, optimum 6% - 8%",Moderate
701,Oceanobacillus halophilum,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 12%, optimum 3% - 5%",Moderate
702,Oceanobacillus limi,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"2.5% - 10%, optimum 7.5%",Moderate
703,Aliidiomarina shirensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 15%, optimum 1% - 10%",Moderate
704,Salinifilum ghardaiensis,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"7% - 32%, optimum 15% - 25%",Extreme
705,Halomonas huangheensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,"1% - 20%, optimum 7% - 10%",Moderate
706,Halorientalis persicus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"15% - 30%, optimum 25%",Extreme
707,Cyclobacterium halophilum,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,shotgun,"1% - 10%, optimum 2.5% - 3%",Moderate
708,Bacillus shacheensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 20%, optimum 5% - 10%",Moderate
709,Salinibacillus xinjiangensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"max 21%, optimum 9% - 12%",Moderate
710,Halomonas olivaria,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 25%, optimum 7%",Extreme
711,Haloplanus salinus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"5% - 28%, optimum 18%",Extreme
712,Gracilimonas mengyeensis,Balneolales,Balneolia,Rhodothermaeota,Bacteria,no,"2% - 15%, optimum 5% - 9%",Moderate
713,Halomonas zhaodongensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 15%, optimum 3%",Moderate
714,Actinopolyspora dayingensis,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,no,"10% - 20%, optimum 13%",Moderate
715,Bacillus oceani,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 10%, optimum 3%",Moderate
716,Marinobacter persicus,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"5% - 20%, optimum 7.5% - 10%",Moderate
717,Fabibacter pacificus,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,shotgun,"0.5% - 10%, optimum 2%",Moderate
718,Actinopolyspora mzabensis,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"7% - 32%, optimum 10% - 28%",Extreme
719,Halopenitus malekzadehii,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"10% - 30%, optimum 20%",Extreme
720,Marinococcus tarijensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"3% - 20%, optimum 5%",Moderate
721,Bacillus salsus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 7.5%, optimum 3%",Moderate
722,Actinopolyspora righensis,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"0% - 35%, optimum 15% - 25%",Extreme
723,Streptomyces chilikensis,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"2% - 12%, optimum 8%",Moderate
724,Bacillus halosaccharovorans,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 25%, optimum 5% - 15%",Extreme
725,Aliifodinibius roseus,Balneolales,Balneolia,Rhodothermaeota,Bacteria,shotgun,"4% - 20%, optimum 6% - 10%",Moderate
726,Aliifodinibius sediminis,Balneolales,Balneolia,Rhodothermaeota,Bacteria,no,"4% - 16%, optimum 6% - 10%",Moderate
727,Actinopolyspora lacussalsi,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,no,"10% - 20%, optimum 12%",Moderate
728,Salinisphaera japonica,Salinisphaerales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 30%, optimum 7.5% - 10%",Extreme
729,Halomonas nanhaiensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 20%, optimum 3% - 4%",Moderate
730,Virgibacillus natechei,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 20%, optimum 10%",Moderate
731,Limimonas halophila,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,"15% - 30%, optimum 20%",Extreme
732,Actinopolyspora saharensis,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"10% - 30%, optimum 15% - 20%",Extreme
733,Ornithinibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 12.5%, optimum 5% - 7.5%",Moderate
734,Corallomonas stylophorae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 7%, optimum 3% - 4%",Extreme
735,Salinicola zeshunii,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 20%, optimum 6% - 12%",Moderate
737,Halomonas smyrnensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"3% - 25%, optimum 10%",Extreme
738,Saliterribacillus persicus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 22.5%, optimum 7.5%",Extreme
739,Halomonas ramblicola,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 30%, optimum 5% - 7.5%",Extreme
740,Virgibacillus albus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 17%, optimum 5% - 10%",Moderate
741,Pseudonocardia nantongensis,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"0% - 15%, optimum 3%",Moderate
742,Oceanicella actignis,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"1% - 9%, optimum 2% - 5%",Moderate
743,Arhodomonas recens,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"2% - 25%, optimum 10% - 12%",Extreme
744,Amphibacillus cookii,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.6% - 26%, optimum 5%",Extreme
745,Salisediminibacterium halotolerans,Bacillales,Bacilli,Firmicutes,Bacteria,no,"3% - 30%, optimum 9%",Extreme
746,Salinisphaera halophila,Salinisphaerales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"6% - 29%, optimum 14% - 19%",Extreme
747,Desulfohalophilus alkaliarsenatis,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"5.5% - 33%, optimum 20%",Extreme
748,Actinopolyspora algeriensis,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,no,7% - 32%,Extreme
749,Gracilibacillus bigeumensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 22%, optimum 7%",Extreme
750,Roseivivax sediminis,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"1% - 15%, optimum 5% - 10%",Moderate
751,Rhizobium halophytocola,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"0% - 7.5%, optimum 4% - 5%",Slight
752,Gracilibacillus kekensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 22%, optimum 3%",Moderate
753,Desulfonatronovibrio halophilus,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"1% - 12%, optimum 3%",Moderate
754,Alteribacillus iranensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"2.5% - 15%, optimum 5% - 7.5%",Moderate
755,Salinactinospora qingdaonensis,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,no,"1% - 23%, optimum 9% - 12%",Moderate
756,Natribacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"7% - 23%, optimum 10% - 15%",Moderate
757,Fodinibius salinus,Balneolales,Balneolia,Rhodothermaeota,Bacteria,no,"4% - 23%, optimum 10% - 15%",Moderate
758,Alkalibacillus weihaiensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 25%, optimum 5% - 20%",Moderate
759,Alkalibacillus huanghaiensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 20%, optimum 10%",Moderate
760,Tetragenococcus osmophilus,Lactobacillales,Bacilli,Firmicutes,Bacteria,no,0% - 25%,Moderate
764,Tetragenococcus halophilus,Lactobacillales,Bacilli,Firmicutes,Bacteria,complete genome,0% - 25%,Moderate
765,Halomonas xianhensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.05% - 27.5%, optimum 5% - 8%",Moderate
766,Celeribacter halophilus,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,0.5% - 11%,Moderate
767,Bacillus hemicentroti,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 25%, optimum 5% - 8%",Moderate
768,Alkalibacterium subtropicum,Lactobacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 17%, optimum 1% - 2%",Moderate
769,Marinobacter daqiaonensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 15%, optimum 5% - 10%",Moderate
770,Halomonas rifensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 20%, optimum 5% - 7.5%",Moderate
771,Halomonas stenophila,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 15%, optimum 5% - 10%",Moderate
772,Halomonas qijiaojingensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 23%, optimum 5% - 7%",Moderate
773,Halomonas flava,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 23%, optimum 5% - 7%",Moderate
774,Salimicrobium salexigens,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"3% - 25%, optimum 7.5% - 12.5%",Moderate
775,Bacillus xiaoxiensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 20%, optimum 2% - 4%",Slight
776,Marinobacter oulmenensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 15%, optimum 5% - 7.5%",Moderate
777,Bacillus alkalisediminis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 10%, optimum 5%",Moderate
778,Halomonas daqiaonensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"2% - 15%, optimum 7% - 8%",Moderate
779,Actinopolyspora alba,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"10% - 25%, optimum 15%",Moderate
780,Actinopolyspora erythraea,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"10% - 25%, optimum 15%",Moderate
781,Jeotgalicoccus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.1% - 16%, optimum 2% - 3%",Slight
782,Streptohalobacillus salinus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 20%, optimum 7%",Moderate
783,Thalassobacillus pellis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 25%, optimum 10%",Moderate
784,Saccharopolyspora lacisalsi,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"5% - 25%, optimum 15%",Moderate
785,Kangiella spongicola,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,2% - 10%,Moderate
786,Bacillus hunanensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 15%, optimum 2% - 4%",Slight
787,Halomonas aidingensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 25%, optimum 2% - 10%",Moderate
788,Halomonas alkalitolerans,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 23%, optimum 7%",Moderate
789,Actinopolyspora egyptensis,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,no,"5% - 25%, optimum 15% - 20%",Moderate
790,Sporosalibacterium faouarense,Clostridiales,Clostridia,Firmicutes,Bacteria,no,"up to 15%, optimum 4%",Slight
791,Haloactinopolyspora alba,Jiangellales,Actinobacteria,Actinobacteria,Bacteria,no,"7% - 23%, optimum 10% - 15%",Moderate
792,Virgibacillus subterraneus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 25%, optimum 9%",Moderate
793,Hwanghaeicola aestuarii,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"1.5% - 6%, optimum 2% - 3%",Slight
794,Alkaliphilus halophilus,Clostridiales,Clostridia,Firmicutes,Bacteria,no,"0.5% - 15%, optimum 7.5%",Moderate
795,Terribacillus aidingensis,Bacillales,Bacilli,Firmicutes,Bacteria,complete genome,"0.5% - 21%, optimum 3% - 7%",Moderate
796,Actinopolyspora lacussalsi,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,no,"10% - 20%, optimum 12%",Moderate
797,Marinimicrobium haloxylanilyticum,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"2% - 22%, optimum 7% - 11%",Moderate
798,Salinicoccus kekensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 20%, optimum 8%",Moderate
799,Salinimicrobium marinum,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,no,"0.5% - 15%, optimum 4%",Slight
801,Virgibacillus siamensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 20%, optimum 5%",Moderate
802,Haloactinobacterium album,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"2% - 16%, optimum 7% - 10%",Moderate
803,Haloechinothrix alba,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"9% - 23%, optimum 15%",Moderate
804,Aestuariibacter aggregatus,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 10%, optimum 4% - 6%",Moderate
805,Kushneria sinocarnis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 20%, optimum 10%",Moderate
806,Zhihengliuella salsuginis,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,"0.5% - 20%, optimum 5% - 10%",Moderate
807,Nocardiopsis terrae,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,no,"1% - 15%, optimum 3% - 5%",Slight
808,Georgenia halophila,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,"1% - 15%, optimum 5% - 10%",Moderate
809,Salsuginibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"9% - 30%, optimum 19%",Moderate
810,Bacillus chungangensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 15%, optimum 5%",Moderate
811,Lentibacillus persicus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"3% - 25%, optimum 7.5% - 10%",Moderate
812,Bacillus halochares,Bacillales,Bacilli,Firmicutes,Bacteria,no,"6% - 23%, optimum 15%",Moderate
814,Oceanobacillus manasiensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"2.5% - 15%, optimum 5% - 10%",Moderate
815,Halomonas jeotgali,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"5% - 25%, optimum 10%",Moderate
816,Lentibacillus jeotgali,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"3% - 20%, optimum 10% - 15%",Moderate
817,Desulfosalsimonas propionicica,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"up to 20%, optimum 6%",Moderate
818,Amycolatopsis halophila,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"1% - 15%, optimum 5%",Moderate
819,Halomonas andesensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 20%, optimum 1% - 3%",Slight
820,Geomicrobium halophilum,Bacillales,Bacilli,Firmicutes,Bacteria,no,"5% - 25%, optimum 10% - 15%",Moderate
821,Psychroflexus lacisalsi,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,no,"0.5% - 15%, optimum 5.8% - 7%",Moderate
822,Cobetia crustatorum,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"3.5% - 11.5%, optimum 6.5%",Extreme
823,Salinicoccus carnicancri,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 20%, optimum 12%",Moderate
824,Thiohalobacter thiocyanaticus,not assigned,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 17%, optimum 3%",Slight
825,Virgibacillus salinus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"3% - 20%, optimum 10%",Moderate
826,Aidingimonas halophila,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 25%, optimum 5% - 10%",Moderate
827,Piscibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 20%, optimum 10%",Moderate
828,Halobacillus hunanensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 25%, optimum 5% - 10%",Moderate
829,Nocardiopsis litoralis,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,no,"1% - 15%, optimum 5% - 7%",Moderate
830,Halomonas zhanjiangensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 20%, optimum 3% - 5%",Moderate
831,Alteromonas halophila,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 20%, optimum 5% - 10%",Moderate
833,Virgibacillus litoralis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 25%, optimum 5% - 10%",Moderate
834,Streptomonospora amylolytica,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,no,"5% - 20%, optimum 10%",Moderate
835,Streptomonospora flavalba,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,no,"5% - 25%, optimum 10%",Moderate
836,Saccharopolyspora qijiaojingensis ,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"6% - 22%, optimum 10% - 15%",Moderate
837,Virgibacillus arcticus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 20%, optimum 5%",Moderate
838,Paracoccus saliphilus ,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 15%, optimum 8%",Moderate
839,Natranaerobius trueperi,Natranaerobiales,Clostridia,Firmicutes,Bacteria,no,"18% - 31%, optimum 22%",Extreme
840,Natronovirga wadinatrunensis,Natranaerobiales,Clostridia,Firmicutes,Bacteria,no,"18% - 31%, optimum 23%",Extreme
841,Virgibacillus sediminis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 20%, optimum 5% - 10%",Moderate
842,Gracilibacillus saliphilus ,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 22%, optimum 10% - 15%",Moderate
843,Sediminibacillus albus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 22%, optimum 7%",Moderate
844,Marinobacter lacisalsi,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 15%, optimum 7.5%",Moderate
845,Halomonas fontilapidosi,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 20%, optimum 5% - 7.5%",Moderate
846,Haloglycomyces albus,Glycomycetales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"3% - 18%, optimum 8% - 12%",Moderate
847,Ectothiorhodospira variabilis,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"2% - 20%, optimum 5% - 8%",Moderate
848,Salinicoccus albus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 30%, optimum 10%",Moderate
849,Saccharopolyspora halophila,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"3% - 20%, optimum 10% - 15%",Moderate
850,Halomonas ilicicola,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"2% - 17.5%, optimum 10%",Moderate
851,Bacillus aidingensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"8% - 33%, optimum 12%",Moderate
852,Halomonas salifodinae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 20%, optimum 3%",Slight
853,Halomonas daqingensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 15%, optimum 5% - 10%",Moderate
854,Marinobacter mobilis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 10%, optimum 3% - 5%",Moderate
855,Thiohalorhabdus denitrificans,not assigned,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"9% - 23%, optimum 18%",Moderate
856,Halomonas sediminis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 15%, optimum 2% - 4%",Slight
857,Halomonas korlensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 25%, optimum 6% - 10%",Moderate
858,Gracilibacillus lacisalsi,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 18%, optimum 5% - 7%",Moderate
859,Gracilibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"7% - 30%, optimum 15%",Moderate
860,Virgibacillus salarius,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 25%, optimum 7% - 10%",Moderate
861,Microbulbifer halophilus,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 20%, optimum 10%",Moderate
862,Halomonas lutea,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 20%, optimum 5% - 10%",Moderate
863,Haloactinospora alba,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,no,"9% - 21%, optimum 15%",Moderate
864,Halolactibacillus alkaliphilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 30%, optimum 2.5%",Slight
865,Lentibacillus salis ,Bacillales,Bacilli,Firmicutes,Bacteria,no,"5% - 15%, optimum 10%",Moderate
866,Aquisalibacillus elongatus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"3% - 20%, optimum 10%",Moderate
867,Salinicoccus halodurans,Bacillales,Bacilli,Firmicutes,Bacteria,complete genome,"0% - 24%, optimum 8%",Moderate
868,Streptomonospora halophila,Streptosporangiales,Actinobacteria,Actinobacteria;,Bacteria,no,"5% - 20%, optimum 10%",Moderate
869,Thiohalospira halophila,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"12% - 29%, optimum 15%- 18%",Moderate
870,Thiohalospira alkaliphila,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 23%, optimum 12%",Moderate
871,Nesterenkonia halophila,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,"0.5% - 30%, optimum 10%",Moderate
872,Thioalkalibacter halophilus,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 20%, optimum 6%",Moderate
873,Salinivibrio proteolyticus,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 17%, optimum 5%",Moderate
874,Halomonas caseinilytica,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 15%, optimum 3% - 5%",Moderate
875,Marinobacter guineae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,1% - 15%,Moderate
876,Halomonas cerina,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"7.5% - 20%, optimum 7.5% - 10%",Moderate
877,Bacillus aurantiacus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,optimum 3% - 7%,Moderate
878,Bacillus coahuilensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 10%, optimum 5%",Moderate
879,Salinicoccus salitudinis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 25%, optimum 10% - 12%",Moderate
880,Saccharomonospora saliphila,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,optimum 10%,Moderate
881,Spongiibacter marinus,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 7%, optimum 3%",Slight
882,Marinobacter pelagius,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 15%, optimum 5%",Moderate
883,Virgibacillus kekensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 25%, optimum 10%",Moderate
884,Virgibacillus chiguensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 30%, optimum 5% - 10%",Moderate
885,Salinimicrobium xinjiangense,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,shotgun,"0.5% - 10%, optimum 2% - 3%",Slight
